id_umkm,provinsi,sektor,skala_usaha,usia_usaha,punya_smartphone,punya_medsos_bisnis,punya_marketplace,jumlah_platform,frekuensi_posting_mgg,pakai_pembayaran_digital,persen_omzet_online,ikut_pelatihan_digital,punya_website,pakai_tools_manajemen,digital_readiness_score,kategori_score,klaster,pca_1,pca_2,nama_klaster
UMKM0001,Jawa Barat,Kuliner,Kecil,1-3 tahun,1,1,0,0,3,1,0.0,1,0,1,51.0,Tinggi (50-75),2,-0.6154913738524058,1.5530035130296758,Digital Beginner
UMKM0002,Kalimantan Timur,Fashion,Kecil,1-3 tahun,1,1,1,1,1,1,40.1,0,0,0,64.34,Tinggi (50-75),3,1.0794501060707802,-0.49401268389053105,Digital Adopter
UMKM0003,Sumatera Utara,Elektronik,Mikro,> 5 tahun,1,0,0,0,0,0,4.7,0,0,0,10.47,Rendah (0-25),0,-2.1704592532902,-1.3688728318822152,Digital Laggard
UMKM0004,Jawa Tengah,Kerajinan,Mikro,1-3 tahun,1,1,1,1,4,1,28.0,0,0,0,69.13,Tinggi (50-75),3,1.090696284197456,0.8356125335384925,Digital Adopter
UMKM0005,Jawa Timur,Jasa,Mikro,1-3 tahun,1,0,0,0,0,1,9.7,0,0,0,20.97,Rendah (0-25),0,-1.8270370751225067,-1.5446040523800562,Digital Laggard
UMKM0006,Jawa Timur,Kerajinan,Kecil,> 5 tahun,1,0,1,3,0,0,33.6,1,0,0,48.36,Sedang (25-50),3,1.5507462676129933,-2.4031636172222415,Digital Adopter
UMKM0007,Jawa Timur,Kerajinan,Menengah,1-3 tahun,1,1,1,2,2,1,73.6,1,1,1,88.03,Sangat Tinggi (75-100),1,3.6780487315233827,0.09246573973113428,Digital Champion
UMKM0008,Sulawesi Selatan,Jasa,Mikro,> 5 tahun,1,0,0,0,0,0,0.6,0,1,0,15.06,Rendah (0-25),0,-1.8383831075416435,-1.1261539786043697,Digital Laggard
UMKM0009,DKI Jakarta,Kuliner,Kecil,< 1 tahun,1,1,1,2,2,1,48.9,0,0,1,75.56,Sangat Tinggi (75-100),3,2.328573250785092,-0.10222053413700805,Digital Adopter
UMKM0010,DKI Jakarta,Fashion,Mikro,3-5 tahun,1,1,0,0,5,1,3.8,0,1,0,50.38,Tinggi (50-75),2,-0.5978160264058382,2.216715801528367,Digital Beginner
UMKM0011,Jawa Timur,Kuliner,Mikro,< 1 tahun,1,1,1,2,5,0,47.1,0,1,0,71.38,Tinggi (50-75),1,2.404676741754914,1.294589895165282,Digital Champion
UMKM0012,Kalimantan Timur,Pertanian,Mikro,< 1 tahun,1,0,0,0,0,0,3.4,0,0,1,15.34,Rendah (0-25),0,-1.8047720959740743,-1.1333369633974582,Digital Laggard
UMKM0013,Sulawesi Selatan,Elektronik,Mikro,> 5 tahun,1,1,0,0,4,0,3.9,0,0,0,33.39,Sedang (25-50),2,-1.3511183907927389,1.7259144929589592,Digital Beginner
UMKM0014,Jawa Barat,Kuliner,Mikro,< 1 tahun,1,0,0,0,0,1,9.9,0,0,0,20.99,Rendah (0-25),0,-1.8221543071382147,-1.545882825787986,Digital Laggard
UMKM0015,Jawa Timur,Kerajinan,Mikro,3-5 tahun,1,1,1,3,1,0,21.7,0,0,0,59.17,Tinggi (50-75),3,1.4781591205542148,-0.6257745858224276,Digital Adopter
UMKM0016,Jawa Timur,Elektronik,Mikro,1-3 tahun,1,1,1,3,3,0,48.8,1,0,0,70.88,Tinggi (50-75),3,2.6584906884616886,0.1719020262347803,Digital Adopter
UMKM0017,Jawa Barat,Kuliner,Kecil,1-3 tahun,1,1,1,2,1,0,46.3,1,0,1,68.3,Tinggi (50-75),3,2.2558071532885036,-0.22314361195186605,Digital Adopter
UMKM0018,Jawa Tengah,Fashion,Mikro,> 5 tahun,1,1,0,0,4,1,7.9,1,0,1,53.79,Tinggi (50-75),2,-0.32040415808076916,1.9199117721661945,Digital Beginner
UMKM0019,Jawa Tengah,Elektronik,Mikro,< 1 tahun,1,1,0,0,1,1,9.9,0,0,0,37.99,Sedang (25-50),2,-1.2899360138799167,0.2915299791722084,Digital Beginner
UMKM0020,Jawa Barat,Kuliner,Kecil,3-5 tahun,1,1,0,0,1,1,9.7,1,0,1,47.97,Sedang (25-50),2,-0.5831128873984732,0.6561433852455647,Digital Beginner
UMKM0021,DKI Jakarta,Kerajinan,Mikro,> 5 tahun,1,0,0,0,0,0,4.9,0,0,0,10.49,Rendah (0-25),0,-2.165576485305908,-1.3701516052901452,Digital Laggard
UMKM0022,Jawa Timur,Kuliner,Mikro,3-5 tahun,1,1,1,1,3,0,21.9,0,0,0,56.52,Tinggi (50-75),3,0.6182010017240473,0.600957199030195,Digital Adopter
UMKM0023,Jawa Barat,Elektronik,Kecil,> 5 tahun,1,0,1,3,0,1,55.8,0,1,0,60.58,Tinggi (50-75),1,2.4319786366046072,-2.6084761437189945,Digital Champion
UMKM0024,Jawa Barat,Pertanian,Mikro,< 1 tahun,1,0,0,0,0,0,4.4,0,0,0,10.44,Rendah (0-25),0,-2.177783405266638,-1.3669546717703203,Digital Laggard
UMKM0025,Jawa Tengah,Elektronik,Mikro,1-3 tahun,1,0,0,0,0,1,8.1,0,0,0,20.81,Rendah (0-25),0,-1.866099218996841,-1.5343738651166163,Digital Laggard
UMKM0026,Sumatera Utara,Fashion,Mikro,1-3 tahun,1,1,0,0,1,1,5.1,0,0,0,37.51,Sedang (25-50),2,-1.4071224455029203,0.322220540962528,Digital Beginner
UMKM0027,Jawa Timur,Jasa,Menengah,> 5 tahun,1,1,0,0,3,1,7.0,1,1,1,56.7,Tinggi (50-75),2,-0.01242160497565388,1.7247504421674074,Digital Beginner
UMKM0028,Jawa Tengah,Jasa,Mikro,> 5 tahun,1,1,0,0,3,1,7.5,0,0,0,41.75,Sedang (25-50),2,-1.1440934689071984,1.141714877566875,Digital Beginner
UMKM0029,Jawa Tengah,Kuliner,Kecil,1-3 tahun,1,1,0,0,2,1,2.5,0,0,1,44.25,Sedang (25-50),2,-0.9709553996925812,0.9834882453485831,Digital Beginner
UMKM0030,Jawa Timur,Jasa,Mikro,3-5 tahun,1,1,1,1,2,1,23.0,0,0,1,69.63,Tinggi (50-75),3,1.1616164730199625,0.25996609257044795,Digital Adopter
UMKM0031,DKI Jakarta,Kuliner,Mikro,1-3 tahun,1,1,0,0,2,1,4.6,1,0,0,44.46,Sedang (25-50),2,-1.0028307398198268,0.8789480745643204,Digital Beginner
UMKM0032,Jawa Timur,Fashion,Mikro,3-5 tahun,1,1,0,0,2,1,2.1,0,0,1,44.21,Sedang (25-50),2,-0.9807209356611647,0.9860457921644431,Digital Beginner
UMKM0033,Jawa Timur,Kuliner,Kecil,3-5 tahun,1,1,1,1,4,0,55.0,0,0,0,61.83,Tinggi (50-75),3,1.5285169835164525,0.806740008767536,Digital Adopter
UMKM0034,Bali,Kuliner,Mikro,> 5 tahun,0,0,0,0,0,1,4.2,0,0,0,10.42,Rendah (0-25),0,-1.760310777062138,-1.225369796443501,Digital Laggard
UMKM0035,Kalimantan Timur,Kuliner,Mikro,3-5 tahun,1,1,1,2,4,1,29.3,0,0,0,72.6,Tinggi (50-75),3,1.6570725998946925,0.6307150360064244,Digital Adopter
UMKM0036,Sumatera Utara,Kerajinan,Mikro,1-3 tahun,0,1,0,0,2,0,5.5,1,0,1,29.55,Sedang (25-50),2,-0.603783695608496,1.5282473080799193,Digital Beginner
UMKM0037,Jawa Barat,Kuliner,Mikro,< 1 tahun,0,0,0,0,0,1,3.8,0,0,0,10.38,Rendah (0-25),0,-1.7700763130307218,-1.2228122496276412,Digital Laggard
UMKM0038,Jawa Timur,Kerajinan,Menengah,1-3 tahun,1,1,1,1,4,1,63.9,1,1,1,87.72,Sangat Tinggi (75-100),1,3.1110319212701105,1.1859113378957682,Digital Champion
